header	segment	source	accession	strain	subtype	date	host_species	host	colourName
blasthit|EPI_ISL_31598|A/green-winged_teal/Minnesota/Sg-00131/2007|A_/_H3N2|2007-09-29	seg5	blasthit	EPI_ISL_31598	A/green-winged_teal/Minnesota/Sg-00131/2007	H3N2	2007-09-29	green-winged_teal	anseriformes	red2
blasthit|EPI_ISL_141094|A/mallard/Minnesota/Sg-00616/2008|A_/_H4N8|2008-07-29	seg5	blasthit	EPI_ISL_141094	A/mallard/Minnesota/Sg-00616/2008	H4N8	2008-07-29	mallard	anseriformes	red2
blasthit|EPI_ISL_95407|A/northern_shoveler/Wisconsin/2508/2009|A_/_H4N2|2009-10-03	seg5	blasthit	EPI_ISL_95407	A/northern_shoveler/Wisconsin/2508/2009	H4N2	2009-10-03	northern_shoveler	anseriformes	red2
blasthit|EPI_ISL_95380|A/mallard/Ohio/1688/2009|A_/_H12N5|2009-08-10	seg5	blasthit	EPI_ISL_95380	A/mallard/Ohio/1688/2009	H12N5	2009-08-10	mallard	anseriformes	red2
blasthit|EPI_ISL_388039|A/American_Black_Duck/Maine/A00090256/2007|A_/_H3N2|2007-09-25	seg5	blasthit	EPI_ISL_388039	A/American_Black_Duck/Maine/A00090256/2007	H3N2	2007-09-25	American_Black_Duck	anseriformes	red2
blasthit|EPI_ISL_189670|A/mallard/Minnesota/AI08-5469/2008|A_/_H7N3|2008-09-25	seg5	blasthit	EPI_ISL_189670	A/mallard/Minnesota/AI08-5469/2008	H7N3	2008-09-25	mallard	anseriformes	red2
blasthit|EPI_ISL_142099|A/ruddy_turnstone/Delaware/650679/2002|A_/_H6N8|2002-05-20	seg5	blasthit	EPI_ISL_142099	A/ruddy_turnstone/Delaware/650679/2002	H6N8	2002-05-20	ruddy_turnstone	charadriiformes	red1
blasthit|EPI_ISL_141119|A/mallard/Minnesota/Sg-00949/2008|A_/_H3N2|2008-09-03	seg5	blasthit	EPI_ISL_141119	A/mallard/Minnesota/Sg-00949/2008	H3N2	2008-09-03	mallard	anseriformes	red2
blasthit|EPI_ISL_141128|A/green-winged_teal/Minnesota/Sg-00820/2008|A_/_H4N5|2008-09-03	seg5	blasthit	EPI_ISL_141128	A/green-winged_teal/Minnesota/Sg-00820/2008	H4N5	2008-09-03	green-winged_teal	anseriformes	red2
blasthit|EPI_ISL_141154|A/mallard/Minnesota/Sg-00767/2008|A_/_H4N8|2008-08-27	seg5	blasthit	EPI_ISL_141154	A/mallard/Minnesota/Sg-00767/2008	H4N8	2008-08-27	mallard	anseriformes	red2
blasthit|EPI_ISL_131881|A/American_black_duck/New_Brunswick/02490/2007|A_/_H7N3|2007-09-17	seg5	blasthit	EPI_ISL_131881	A/American_black_duck/New_Brunswick/02490/2007	H7N3	2007-09-17	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_131725|A/American_black_duck/New_Brunswick/02493/2007|A_/_H7N3|2007-09-17	seg5	blasthit	EPI_ISL_131725	A/American_black_duck/New_Brunswick/02493/2007	H7N3	2007-09-17	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_95398|A/American_green-winged_teal/Wisconsin/2743/2009|A_/_H1N1|2009-10-17	seg5	blasthit	EPI_ISL_95398	A/American_green-winged_teal/Wisconsin/2743/2009	H1N1	2009-10-17	American_green-winged_teal	anseriformes	red2
blasthit|EPI_ISL_27587|A/environment/New_York/11653-1/2005|A_/_H5N2|2005-02-02	seg5	blasthit	EPI_ISL_27587	A/environment/New_York/11653-1/2005	H5N2	2005-02-02	environment	other/unknown avian	gray
blasthit|EPI_ISL_7170|A/environment/Maryland/1175/2005|A_/_H3N8|2005-07-02	seg5	blasthit	EPI_ISL_7170	A/environment/Maryland/1175/2005	H3N8	2005-07-02	environment	other/unknown avian	gray
blasthit|EPI_ISL_6784|A/environment/Ohio/994/2005|A_/_H3N2|2005-07-02	seg5	blasthit	EPI_ISL_6784	A/environment/Ohio/994/2005	H3N2	2005-07-02	environment	other/unknown avian	gray
blasthit|EPI_ISL_5351|A/mallard/Maryland/881/2002|A_/_H6N2|2002-08-29	seg5	blasthit	EPI_ISL_5351	A/mallard/Maryland/881/2002	H6N2	2002-08-29	mallard	anseriformes	red2
blasthit|EPI_ISL_5345|A/blue-winged_teal/Ohio/908/2002|A_/_H3N2|2002-09-07	seg5	blasthit	EPI_ISL_5345	A/blue-winged_teal/Ohio/908/2002	H3N2	2002-09-07	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_142328|A/American_black_duck/North_Carolina/1321373/2004|A_/_H3N2|2004-12-22	seg5	blasthit	EPI_ISL_142328	A/American_black_duck/North_Carolina/1321373/2004	H3N2	2004-12-22	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_141129|A/mallard/Minnesota/Sg-01039/2008|A_/_H4N8|2008-09-14	seg5	blasthit	EPI_ISL_141129	A/mallard/Minnesota/Sg-01039/2008	H4N8	2008-09-14	mallard	anseriformes	red2
blasthit|EPI_ISL_141116|A/mallard/Minnesota/Sg-00902/2008|A|2008-09-03	seg5	blasthit	EPI_ISL_141116	A/mallard/Minnesota/Sg-00902/2008	A	2008-09-03	mallard	anseriformes	red2
blasthit|EPI_ISL_141115|A/mallard/Minnesota/Sg-00868/2008|A_/_H3N8|2008-09-03	seg5	blasthit	EPI_ISL_141115	A/mallard/Minnesota/Sg-00868/2008	H3N8	2008-09-03	mallard	anseriformes	red2
query|EPI_ISL_123259|A/harbor_seal/Massachusetts/1/2011|A_/_H3N8|2011-09-29	seg6	query	EPI_ISL_123259	A/harbor_seal/Massachusetts/1/2011	H3N8	2011-09-29	harbor_seal	seal	blue2
blasthit|EPI_ISL_166491|A/harbor_seal/New_Hampshire/179629/2011|A_/_H3N8|2011-09-29	seg6	blasthit	EPI_ISL_166491	A/harbor_seal/New_Hampshire/179629/2011	H3N8	2011-09-29	harbor_seal	seal	blue2
blasthit|EPI_ISL_144546|A/mallard/Minnesota/AI09-2749/2009|A_/_H6N8|2009-09-04	seg6	blasthit	EPI_ISL_144546	A/mallard/Minnesota/AI09-2749/2009	H6N8	2009-09-04	mallard	anseriformes	red2
blasthit|EPI_ISL_141208|A/mallard/Minnesota/AI09-2749/2009|A|2009-09-04	seg6	blasthit	EPI_ISL_141208	A/mallard/Minnesota/AI09-2749/2009	A	2009-09-04	mallard	anseriformes	red2
blasthit|EPI_ISL_141230|A/northern_pintail/Minnesota/AI09-4322/2009|A_/_H3N8|2009-09-12	seg6	blasthit	EPI_ISL_141230	A/northern_pintail/Minnesota/AI09-4322/2009	H3N8	2009-09-12	northern_pintail	anseriformes	red2
blasthit|EPI_ISL_85173|A/American_green-winged_teal/Wisconsin/08OS2270/2008|A_/_H3N8|2008-10-19	seg6	blasthit	EPI_ISL_85173	A/American_green-winged_teal/Wisconsin/08OS2270/2008	H3N8	2008-10-19	American_green-winged_teal	anseriformes	red2
blasthit|EPI_ISL_141090|A/mallard/Minnesota/Sg-00804/2008|A_/_H3N8|2008-09-01	seg6	blasthit	EPI_ISL_141090	A/mallard/Minnesota/Sg-00804/2008	H3N8	2008-09-01	mallard	anseriformes	red2
blasthit|EPI_ISL_85184|A/northern_shoveler/Illinois/08OS3331/2008|A_/_H4N8|2008-11-15	seg6	blasthit	EPI_ISL_85184	A/northern_shoveler/Illinois/08OS3331/2008	H4N8	2008-11-15	northern_shoveler	anseriformes	red2
blasthit|EPI_ISL_141237|A/blue-winged_teal/Louisiana/AI09-5159/2009|A_/_H3N8|2009-11-14	seg6	blasthit	EPI_ISL_141237	A/blue-winged_teal/Louisiana/AI09-5159/2009	H3N8	2009-11-14	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_141193|A/American_wigeon/Minnesota/Sg-01067/2008|A_/_H3N8|2008-10-12	seg6	blasthit	EPI_ISL_141193	A/American_wigeon/Minnesota/Sg-01067/2008	H3N8	2008-10-12	American_wigeon	anseriformes	red2
blasthit|EPI_ISL_99252|A/mallard/Alberta/527/2008|A_/_H3N8|2008-08-08	seg6	blasthit	EPI_ISL_99252	A/mallard/Alberta/527/2008	H3N8	2008-08-08	mallard	anseriformes	red2
blasthit|EPI_ISL_84946|A/mallard/Minnesota/Sg-00103/2007|A_/_H3N8|2007-09-16	seg6	blasthit	EPI_ISL_84946	A/mallard/Minnesota/Sg-00103/2007	H3N8	2007-09-16	mallard	anseriformes	red2
blasthit|EPI_ISL_28111|A/blue-winged_teal/Manitoba/13436/2005|A_/_H3N8|2005-08-30	seg6	blasthit	EPI_ISL_28111	A/blue-winged_teal/Manitoba/13436/2005	H3N8	2005-08-30	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_141328|A/mallard/Minnesota/AI06-962/2006|A_/_H4N8|2006-07-02	seg6	blasthit	EPI_ISL_141328	A/mallard/Minnesota/AI06-962/2006	H4N8	2006-07-02	mallard	anseriformes	red2
blasthit|EPI_ISL_6957|A/common_scoter/Maryland/297/2005|A_/_H10N8|2005-12-05	seg6	blasthit	EPI_ISL_6957	A/common_scoter/Maryland/297/2005	H10N8	2005-12-05	common_scoter	anseriformes	red2
blasthit|EPI_ISL_131727|A/American_black_duck/New_Brunswick/02375/2007|A_/_H4N8|2007-08-05	seg6	blasthit	EPI_ISL_131727	A/American_black_duck/New_Brunswick/02375/2007	H4N8	2007-08-05	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_84973|A/green-winged_teal/Louisiana/Sg-00092/2007|A_/_H3N8|2007-09-15	seg6	blasthit	EPI_ISL_84973	A/green-winged_teal/Louisiana/Sg-00092/2007	H3N8	2007-09-15	green-winged_teal	anseriformes	red2
blasthit|EPI_ISL_180905|A/environment/Maryland/07OS1639/2007|A_/_H3N8|2007-09-06	seg6	blasthit	EPI_ISL_180905	A/environment/Maryland/07OS1639/2007	H3N8	2007-09-06	environment	other/unknown avian	gray
blasthit|EPI_ISL_180906|A/environment/Maryland/07OS1633/2007|A_/_H3N8|2007-09-06	seg6	blasthit	EPI_ISL_180906	A/environment/Maryland/07OS1633/2007	H3N8	2007-09-06	environment	other/unknown avian	gray
blasthit|EPI_ISL_180904|A/environment/Maryland/07OS1632/2007|A_/_H3N8|2007-09-06	seg6	blasthit	EPI_ISL_180904	A/environment/Maryland/07OS1632/2007	H3N8	2007-09-06	environment	other/unknown avian	gray
blasthit|EPI_ISL_180903|A/environment/Maryland/07OS1630/2007|A_/_H3N8|2007-09-06	seg6	blasthit	EPI_ISL_180903	A/environment/Maryland/07OS1630/2007	H3N8	2007-09-06	environment	other/unknown avian	gray
blasthit|EPI_ISL_180901|A/environment/Maryland/07OS1622/2007|A_/_H3N8|2007-09-06	seg6	blasthit	EPI_ISL_180901	A/environment/Maryland/07OS1622/2007	H3N8	2007-09-06	environment	other/unknown avian	gray
blasthit|EPI_ISL_180899|A/environment/Maryland/07OS1621/2007|A_/_H3N8|2007-09-06	seg6	blasthit	EPI_ISL_180899	A/environment/Maryland/07OS1621/2007	H3N8	2007-09-06	environment	other/unknown avian	gray
blasthit|EPI_ISL_180897|A/environment/Maryland/07OS1620/2007|A_/_H3N8|2007-09-06	seg6	blasthit	EPI_ISL_180897	A/environment/Maryland/07OS1620/2007	H3N8	2007-09-06	environment	other/unknown avian	gray
blasthit|EPI_ISL_180895|A/environment/Maryland/07OS1617/2007|A_/_H3N8|2007-09-06	seg6	blasthit	EPI_ISL_180895	A/environment/Maryland/07OS1617/2007	H3N8	2007-09-06	environment	other/unknown avian	gray
blasthit|EPI_ISL_180894|A/environment/Maryland/07OS1615/2007|A_/_H3N8|2007-09-06	seg6	blasthit	EPI_ISL_180894	A/environment/Maryland/07OS1615/2007	H3N8	2007-09-06	environment	other/unknown avian	gray
blasthit|EPI_ISL_180893|A/environment/Maryland/07OS1614/2007|A_/_H3N8|2007-09-06	seg6	blasthit	EPI_ISL_180893	A/environment/Maryland/07OS1614/2007	H3N8	2007-09-06	environment	other/unknown avian	gray
blasthit|EPI_ISL_180892|A/environment/Maryland/07OS1613/2007|A_/_H3N8|2007-09-06	seg6	blasthit	EPI_ISL_180892	A/environment/Maryland/07OS1613/2007	H3N8	2007-09-06	environment	other/unknown avian	gray
blasthit|EPI_ISL_180868|A/environment/Maryland/07OS1605/2007|A_/_H3N8|2007-09-06	seg6	blasthit	EPI_ISL_180868	A/environment/Maryland/07OS1605/2007	H3N8	2007-09-06	environment	other/unknown avian	gray
blasthit|EPI_ISL_180866|A/environment/Maryland/07OS1592/2007|A_/_H3N8|2007-09-06	seg6	blasthit	EPI_ISL_180866	A/environment/Maryland/07OS1592/2007	H3N8	2007-09-06	environment	other/unknown avian	gray
blasthit|EPI_ISL_179706|A/environment/Maryland/07OS1618/2007|A_/_H3N8|2007-09-06	seg6	blasthit	EPI_ISL_179706	A/environment/Maryland/07OS1618/2007	H3N8	2007-09-06	environment	other/unknown avian	gray
blasthit|EPI_ISL_131742|A/American_black_duck/Nova_Scotia/02213/2007|A_/_H3N8|2007-07-02	seg6	blasthit	EPI_ISL_131742	A/American_black_duck/Nova_Scotia/02213/2007	H3N8	2007-07-02	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_180909|A/environment/Maryland/07OS1640/2007|A_/_H3N8|2007-09-06	seg6	blasthit	EPI_ISL_180909	A/environment/Maryland/07OS1640/2007	H3N8	2007-09-06	environment	other/unknown avian	gray
blasthit|EPI_ISL_180896|A/environment/Maryland/07OS1626/2007|A_/_H3N8|2007-09-06	seg6	blasthit	EPI_ISL_180896	A/environment/Maryland/07OS1626/2007	H3N8	2007-09-06	environment	other/unknown avian	gray
blasthit|EPI_ISL_180898|A/environment/Maryland/07OS1619/2007|A_/_H3N8|2007-09-06	seg6	blasthit	EPI_ISL_180898	A/environment/Maryland/07OS1619/2007	H3N8	2007-09-06	environment	other/unknown avian	gray
blasthit|EPI_ISL_180913|A/environment/Maryland/07OS1608/2007|A_/_H3N8|2007-09-06	seg6	blasthit	EPI_ISL_180913	A/environment/Maryland/07OS1608/2007	H3N8	2007-09-06	environment	other/unknown avian	gray
blasthit|EPI_ISL_180870|A/environment/Maryland/07OS1597/2007|A_/_H3N8|2007-09-06	seg6	blasthit	EPI_ISL_180870	A/environment/Maryland/07OS1597/2007	H3N8	2007-09-06	environment	other/unknown avian	gray
blasthit|EPI_ISL_141146|A/mallard/Minnesota/Sg-01042/2008|A_/_H6N8|2008-09-14	seg6	blasthit	EPI_ISL_141146	A/mallard/Minnesota/Sg-01042/2008	H6N8	2008-09-14	mallard	anseriformes	red2
blasthit|EPI_ISL_99257|A/redhead/Alberta/458/2007|A_/_H3N8|2007-08-28	seg6	blasthit	EPI_ISL_99257	A/redhead/Alberta/458/2007	H3N8	2007-08-28	redhead	anseriformes	red2
blasthit|EPI_ISL_33530|A/mallard/Minnesota/Sg-00804/2008|A_/_H3N8|2008-09-01	seg6	blasthit	EPI_ISL_33530	A/mallard/Minnesota/Sg-00804/2008	H3N8	2008-09-01	mallard	anseriformes	red2
blasthit|EPI_ISL_180902|A/environment/Maryland/07OS1623/2007|A_/_H3N8|2007-09-06	seg6	blasthit	EPI_ISL_180902	A/environment/Maryland/07OS1623/2007	H3N8	2007-09-06	environment	other/unknown avian	gray
blasthit|EPI_ISL_180891|A/environment/Maryland/07OS1606/2007|A_/_H3N8|2007-09-06	seg6	blasthit	EPI_ISL_180891	A/environment/Maryland/07OS1606/2007	H3N8	2007-09-06	environment	other/unknown avian	gray
blasthit|EPI_ISL_180869|A/environment/Maryland/07OS1603/2007|A_/_H3N8|2007-09-06	seg6	blasthit	EPI_ISL_180869	A/environment/Maryland/07OS1603/2007	H3N8	2007-09-06	environment	other/unknown avian	gray
blasthit|EPI_ISL_180867|A/environment/Maryland/07OS1598/2007|A_/_H3N8|2007-09-06	seg6	blasthit	EPI_ISL_180867	A/environment/Maryland/07OS1598/2007	H3N8	2007-09-06	environment	other/unknown avian	gray
blasthit|EPI_ISL_257133|A/blue-winged_teal/Guatemala/CIP049H102-10/2011|A_/_H4N8|2011-11-11	seg6	blasthit	EPI_ISL_257133	A/blue-winged_teal/Guatemala/CIP049H102-10/2011	H4N8	2011-11-11	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_99292|A/mallard/Alberta/256/2006|A|2006-08-09	seg6	blasthit	EPI_ISL_99292	A/mallard/Alberta/256/2006	A	2006-08-09	mallard	anseriformes	red2
blasthit|EPI_ISL_94978|A/blue-winged_teal/Guatemala/CIP049-05/2010|A_/_H3N8|2010-01-31	seg6	blasthit	EPI_ISL_94978	A/blue-winged_teal/Guatemala/CIP049-05/2010	H3N8	2010-01-31	blue-winged_teal	anseriformes	red2
blasthit|EPI_ISL_89634|A/mallard/Maryland/807/2007|A_/_H3N8|2007-07-02	seg6	blasthit	EPI_ISL_89634	A/mallard/Maryland/807/2007	H3N8	2007-07-02	mallard	anseriformes	red2
blasthit|EPI_ISL_180900|A/environment/Maryland/07OS1637/2007|A_/_H3N8|2007-09-06	seg6	blasthit	EPI_ISL_180900	A/environment/Maryland/07OS1637/2007	H3N8	2007-09-06	environment	other/unknown avian	gray
blasthit|EPI_ISL_180908|A/environment/Maryland/07OS1635/2007|A_/_H3N8|2007-09-06	seg6	blasthit	EPI_ISL_180908	A/environment/Maryland/07OS1635/2007	H3N8	2007-09-06	environment	other/unknown avian	gray
query|EPI_ISL_123259|A/harbor_seal/Massachusetts/1/2011|A_/_H3N8|2011-09-29	seg7	query	EPI_ISL_123259	A/harbor_seal/Massachusetts/1/2011	H3N8	2011-09-29	harbor_seal	seal	blue2
blasthit|EPI_ISL_137860|A/mallard/New_Brunswick/00979/2010|A_/_H4N8|2010-09-16	seg7	blasthit	EPI_ISL_137860	A/mallard/New_Brunswick/00979/2010	H4N8	2010-09-16	mallard	anseriformes	red2
blasthit|EPI_ISL_137854|A/American_black_duck/New_Brunswick/00951/2010|A|2010-09-15	seg7	blasthit	EPI_ISL_137854	A/American_black_duck/New_Brunswick/00951/2010	A	2010-09-15	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_137855|A/American_black_duck/New_Brunswick/00952/2010|A|2010-09-15	seg7	blasthit	EPI_ISL_137855	A/American_black_duck/New_Brunswick/00952/2010	A	2010-09-15	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_139401|A/Canada_goose/Alaska/44308-044/2007|A_/_H4N6|2007-05-19	seg7	blasthit	EPI_ISL_139401	A/Canada_goose/Alaska/44308-044/2007	H4N6	2007-05-19	Canada_goose	anseriformes	red2
blasthit|EPI_ISL_166491|A/harbor_seal/New_Hampshire/179629/2011|A_/_H3N8|2011-09-29	seg7	blasthit	EPI_ISL_166491	A/harbor_seal/New_Hampshire/179629/2011	H3N8	2011-09-29	harbor_seal	seal	blue2
blasthit|EPI_ISL_75723|A/ring-necked_duck/Minnesota/Sg-00068/2007|A_/_H10N7|2007-08-03	seg7	blasthit	EPI_ISL_75723	A/ring-necked_duck/Minnesota/Sg-00068/2007	H10N7	2007-08-03	ring-necked_duck	anseriformes	red2
blasthit|EPI_ISL_75712|A/mallard/Minnesota/Sg-00057/2007|A_/_H10N7|2007-08-03	seg7	blasthit	EPI_ISL_75712	A/mallard/Minnesota/Sg-00057/2007	H10N7	2007-08-03	mallard	anseriformes	red2
blasthit|EPI_ISL_75711|A/mallard/Minnesota/Sg-00056/2007|A_/_H10N7|2007-08-03	seg7	blasthit	EPI_ISL_75711	A/mallard/Minnesota/Sg-00056/2007	H10N7	2007-08-03	mallard	anseriformes	red2
blasthit|EPI_ISL_75702|A/mallard/Minnesota/Sg-00046/2007|A_/_H4N6|2007-08-03	seg7	blasthit	EPI_ISL_75702	A/mallard/Minnesota/Sg-00046/2007	H4N6	2007-08-03	mallard	anseriformes	red2
blasthit|EPI_ISL_131756|A/American_black_duck/New_Brunswick/03552/2009|A_/_H4N6|2009-09-11	seg7	blasthit	EPI_ISL_131756	A/American_black_duck/New_Brunswick/03552/2009	H4N6	2009-09-11	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_131754|A/American_black_duck/New_Brunswick/03511/2009|A_/_H4N6|2009-09-10	seg7	blasthit	EPI_ISL_131754	A/American_black_duck/New_Brunswick/03511/2009	H4N6	2009-09-10	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_131753|A/American_black_duck/New_Brunswick/03553/2009|A_/_H4N6|2009-09-11	seg7	blasthit	EPI_ISL_131753	A/American_black_duck/New_Brunswick/03553/2009	H4N6	2009-09-11	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_131709|A/American_black_duck/New_Brunswick/03554/2009|A_/_H4N6|2009-09-11	seg7	blasthit	EPI_ISL_131709	A/American_black_duck/New_Brunswick/03554/2009	H4N6	2009-09-11	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_131702|A/American_black_duck/New_Brunswick/03551/2009|A_/_H4N6|2009-09-11	seg7	blasthit	EPI_ISL_131702	A/American_black_duck/New_Brunswick/03551/2009	H4N6	2009-09-11	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_131697|A/American_black_duck/New_Brunswick/03559/2009|A_/_H4N6|2009-09-11	seg7	blasthit	EPI_ISL_131697	A/American_black_duck/New_Brunswick/03559/2009	H4N6	2009-09-11	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_80978|A/green_winged_teal/Delaware/468157-6/2006|A_/_H5N2|2006-07-02	seg7	blasthit	EPI_ISL_80978	A/green_winged_teal/Delaware/468157-6/2006	H5N2	2006-07-02	green_winged_teal	anseriformes	red2
blasthit|EPI_ISL_131708|A/American_black_duck/New_Brunswick/03556/2009|A_/_H4N6|2009-09-11	seg7	blasthit	EPI_ISL_131708	A/American_black_duck/New_Brunswick/03556/2009	H4N6	2009-09-11	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_86212|A/mallard/Minnesota/Sg-00195/2007|A_/_H10N3|2007-09-22	seg7	blasthit	EPI_ISL_86212	A/mallard/Minnesota/Sg-00195/2007	H10N3	2007-09-22	mallard	anseriformes	red2
blasthit|EPI_ISL_189664|A/shorebird/Delaware_Bay/22/2006|A_/_H7N3|2006-05-22	seg7	blasthit	EPI_ISL_189664	A/shorebird/Delaware_Bay/22/2006	H7N3	2006-05-22	shorebird	charadriiformes	red1
blasthit|EPI_ISL_189671|A/ruddy_turnstone/Delaware_Bay/290/2006|A|2006-05-22	seg7	blasthit	EPI_ISL_189671	A/ruddy_turnstone/Delaware_Bay/290/2006	A	2006-05-22	ruddy_turnstone	charadriiformes	red1
blasthit|EPI_ISL_142434|A/northern_shoveler/Minnesota/Sg-00612/2008|A_/_H10N7|2008-07-29	seg7	blasthit	EPI_ISL_142434	A/northern_shoveler/Minnesota/Sg-00612/2008	H10N7	2008-07-29	northern_shoveler	anseriformes	red2
blasthit|EPI_ISL_142336|A/sanderling/New_Jersey/AI06-125/2006|A_/_H7N3|2006-05-17	seg7	blasthit	EPI_ISL_142336	A/sanderling/New_Jersey/AI06-125/2006	H7N3	2006-05-17	sanderling	charadriiformes	red1
blasthit|EPI_ISL_142335|A/red_knot/New_Jersey/AI06-096/2006|A_/_H7N3|2006-05-17	seg7	blasthit	EPI_ISL_142335	A/red_knot/New_Jersey/AI06-096/2006	H7N3	2006-05-17	red_knot	charadriiformes	red1
blasthit|EPI_ISL_81041|A/sanderling/New_Jersey/125/2006|A_/_H7N3|2006-07-02	seg7	blasthit	EPI_ISL_81041	A/sanderling/New_Jersey/125/2006	H7N3	2006-07-02	sanderling	charadriiformes	red1
blasthit|EPI_ISL_81040|A/red_knot/New_Jersey/96/2006|A_/_H7N3|2006-07-02	seg7	blasthit	EPI_ISL_81040	A/red_knot/New_Jersey/96/2006	H7N3	2006-07-02	red_knot	charadriiformes	red1
blasthit|EPI_ISL_81039|A/ruddy_turnstone/New_Jersey/171/2006|A_/_H7N3|2006-07-02	seg7	blasthit	EPI_ISL_81039	A/ruddy_turnstone/New_Jersey/171/2006	H7N3	2006-07-02	ruddy_turnstone	charadriiformes	red1
blasthit|EPI_ISL_64443|A/sanderling/New_Jersey/355/2006|A_/_H7N3|2006-07-02	seg7	blasthit	EPI_ISL_64443	A/sanderling/New_Jersey/355/2006	H7N3	2006-07-02	sanderling	charadriiformes	red1
blasthit|EPI_ISL_64442|A/sanderling/New_Jersey/148/2006|A_/_H7N3|2006-07-02	seg7	blasthit	EPI_ISL_64442	A/sanderling/New_Jersey/148/2006	H7N3	2006-07-02	sanderling	charadriiformes	red1
blasthit|EPI_ISL_64437|A/ruddy_turnstone/New_Jersey/589/2006|A_/_H7N3|2006-07-02	seg7	blasthit	EPI_ISL_64437	A/ruddy_turnstone/New_Jersey/589/2006	H7N3	2006-07-02	ruddy_turnstone	charadriiformes	red1
blasthit|EPI_ISL_64433|A/ruddy_turnstone/New_Jersey/565/2006|A_/_H7N3|2006-07-02	seg7	blasthit	EPI_ISL_64433	A/ruddy_turnstone/New_Jersey/565/2006	H7N3	2006-07-02	ruddy_turnstone	charadriiformes	red1
blasthit|EPI_ISL_64431|A/ruddy_turnstone/New_Jersey/562/2006|A_/_H7N3|2006-07-02	seg7	blasthit	EPI_ISL_64431	A/ruddy_turnstone/New_Jersey/562/2006	H7N3	2006-07-02	ruddy_turnstone	charadriiformes	red1
blasthit|EPI_ISL_64429|A/ruddy_turnstone/New_Jersey/527/2006|A_/_H7N3|2006-07-02	seg7	blasthit	EPI_ISL_64429	A/ruddy_turnstone/New_Jersey/527/2006	H7N3	2006-07-02	ruddy_turnstone	charadriiformes	red1
blasthit|EPI_ISL_64421|A/ruddy_turnstone/New_Jersey/195/2006|A_/_H7|2006-07-02	seg7	blasthit	EPI_ISL_64421	A/ruddy_turnstone/New_Jersey/195/2006	H7	2006-07-02	ruddy_turnstone	charadriiformes	red1
blasthit|EPI_ISL_64419|A/ruddy_turnstone/New_Jersey/183/2006|A_/_H7N3|2006-07-02	seg7	blasthit	EPI_ISL_64419	A/ruddy_turnstone/New_Jersey/183/2006	H7N3	2006-07-02	ruddy_turnstone	charadriiformes	red1
blasthit|EPI_ISL_64415|A/ruddy_turnstone/New_Jersey/166/2006|A_/_H7N3|2006-07-02	seg7	blasthit	EPI_ISL_64415	A/ruddy_turnstone/New_Jersey/166/2006	H7N3	2006-07-02	ruddy_turnstone	charadriiformes	red1
blasthit|EPI_ISL_64414|A/ruddy_turnstone/Delaware/893/2006|A_/_H7N7|2006-07-02	seg7	blasthit	EPI_ISL_64414	A/ruddy_turnstone/Delaware/893/2006	H7N7	2006-07-02	ruddy_turnstone	charadriiformes	red1
blasthit|EPI_ISL_64409|A/ruddy_turnstone/Delaware/789/2006|A_/_H7N3|2006-07-02	seg7	blasthit	EPI_ISL_64409	A/ruddy_turnstone/Delaware/789/2006	H7N3	2006-07-02	ruddy_turnstone	charadriiformes	red1
blasthit|EPI_ISL_64405|A/ruddy_turnstone/Delaware/760/2006|A_/_H7N3|2006-07-02	seg7	blasthit	EPI_ISL_64405	A/ruddy_turnstone/Delaware/760/2006	H7N3	2006-07-02	ruddy_turnstone	charadriiformes	red1
blasthit|EPI_ISL_64403|A/red_knot/New_Jersey/253/2006|A_/_H7N3|2006-07-02	seg7	blasthit	EPI_ISL_64403	A/red_knot/New_Jersey/253/2006	H7N3	2006-07-02	red_knot	charadriiformes	red1
blasthit|EPI_ISL_137851|A/American_black_duck/New_Brunswick/00914/2010|A|2010-09-14	seg7	blasthit	EPI_ISL_137851	A/American_black_duck/New_Brunswick/00914/2010	A	2010-09-14	American_black_duck	anseriformes	red2
blasthit|EPI_ISL_142480|A/mallard/Minnesota/Sg-01030/2008|A_/_H10N7|2008-09-12	seg7	blasthit	EPI_ISL_142480	A/mallard/Minnesota/Sg-01030/2008	H10N7	2008-09-12	mallard	anseriformes	red2
