header	segment	source	accession	strain	subtype	date	year	location	host	colourName
blasthit|EPI_ISL_267318|A/mallard_duck/Netherlands/2/2014|A_/_H10N7|2014-02-17	seg5	blasthit	EPI_ISL_267318	A/mallard_duck/Netherlands/2/2014	H10N7	17/02/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243504|A/mallard_duck/Netherlands/1/2014|A_/_H10N7|2014-02-17	seg5	blasthit	EPI_ISL_243504	A/mallard_duck/Netherlands/1/2014	H10N7	17/02/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243515|A/mallard_duck/Netherlands/9/2013|A_/_H6N8|2013-10-15	seg5	blasthit	EPI_ISL_243515	A/mallard_duck/Netherlands/9/2013	H6N8	15/10/2013	2013	Netherlands	anseriformes	red2
blasthit|EPI_ISL_329052|A/black-headed_gull/Netherlands/21/2014|A_/_H11N1|2014-12-26	seg5	blasthit	EPI_ISL_329052	A/black-headed_gull/Netherlands/21/2014	H11N1	26/12/2014	2014	Netherlands	charadriiformes	red1
blasthit|EPI_ISL_163595|A/Caspian_seal/Russia/T1/2012|A_/_H4N6|2012-10-03	seg5	blasthit	EPI_ISL_163595	A/Caspian_seal/Russia/T1/2012	H4N6	03/10/2012	2012	Russia	seal	blue2
blasthit|EPI_ISL_163594|A/Caspian_seal/Russia/1884/2002|A_/_H4N6|2002-07-20	seg5	blasthit	EPI_ISL_163594	A/Caspian_seal/Russia/1884/2002	H4N6	20/07/2002	2002	Russia	seal	blue2
blasthit|EPI_ISL_309809|A/Chicken/Netherlands/12002495-001-005/2012|A_/_H10N9|2012-02-06	seg5	blasthit	EPI_ISL_309809	A/Chicken/Netherlands/12002495-001-005/2012	H10N9	06/02/2012	2012	Netherlands	galliformes	red3
blasthit|EPI_ISL_243599|A/greater_white-fronted_goose/Netherlands/4/2006|A_/_H6N8|2006-01-27	seg5	blasthit	EPI_ISL_243599	A/greater_white-fronted_goose/Netherlands/4/2006	H6N8	27/01/2006	2006	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267389|A/mallard_duck/Netherlands/24/2014|A_/_H7N3|2014-09-30	seg5	blasthit	EPI_ISL_267389	A/mallard_duck/Netherlands/24/2014	H7N3	30/09/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243393|A/mallard_duck/Netherlands/6/2015|A_/_H10N7|2015-03-04	seg5	blasthit	EPI_ISL_243393	A/mallard_duck/Netherlands/6/2015	H10N7	04/03/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_329056|A/Eurasian_wigeon/Netherlands/6/2005|A_/_H6N2|2005-11-25	seg5	blasthit	EPI_ISL_329056	A/Eurasian_wigeon/Netherlands/6/2005	H6N2	25/11/2005	2005	Netherlands	anseriformes	red2
blasthit|EPI_ISL_309930|A/Chicken/Netherlands/14016059/2014|A_/_H6N2|2014-11-22	seg5	blasthit	EPI_ISL_309930	A/Chicken/Netherlands/14016059/2014	H6N2	22/11/2014	2014	Netherlands	galliformes	red3
blasthit|EPI_ISL_309835|A/Duck/Netherlands/14016396/2014|A_/_H6N2|2014-11-25	seg5	blasthit	EPI_ISL_309835	A/Duck/Netherlands/14016396/2014	H6N2	25/11/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_309826|A/Turkey/Netherlands/12005615/2012|A_/_H10N9|2012-03-13	seg5	blasthit	EPI_ISL_309826	A/Turkey/Netherlands/12005615/2012	H10N9	13/03/2012	2012	Netherlands	galliformes	red3
blasthit|EPI_ISL_309825|A/Turkey/Netherlands/12004763-001-004/2012|A_/_H10N9|2012-03-05	seg5	blasthit	EPI_ISL_309825	A/Turkey/Netherlands/12004763-001-004/2012	H10N9	05/03/2012	2012	Netherlands	galliformes	red3
blasthit|EPI_ISL_267275|A/mallard_duck/Netherlands/40/2011|A_/_H7N1|2011-12-24	seg5	blasthit	EPI_ISL_267275	A/mallard_duck/Netherlands/40/2011	H7N1	24/12/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267433|A/mallard_duck/Netherlands/48/2011|A_/_H7N1|2011-12-27	seg5	blasthit	EPI_ISL_267433	A/mallard_duck/Netherlands/48/2011	H7N1	27/12/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243400|A/mallard_duck/Netherlands/31/2012|A_/_H7N1|2012-01-10	seg5	blasthit	EPI_ISL_243400	A/mallard_duck/Netherlands/31/2012	H7N1	10/01/2012	2012	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243501|A/mallard_duck/Netherlands/44/2011|A_/_H7N1|2011-12-24	seg5	blasthit	EPI_ISL_243501	A/mallard_duck/Netherlands/44/2011	H7N1	24/12/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243537|A/mallard_duck/Netherlands/5/2013|A_/_H1N1|2013-09-16	seg5	blasthit	EPI_ISL_243537	A/mallard_duck/Netherlands/5/2013	H1N1	16/09/2013	2013	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243380|A/mallard_duck/Netherlands/43/2011|A_/_H7N1|2011-12-24	seg5	blasthit	EPI_ISL_243380	A/mallard_duck/Netherlands/43/2011	H7N1	24/12/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243434|A/mallard_duck/Netherlands/33/2014|A_/_H10N7|2014-12-16	seg5	blasthit	EPI_ISL_243434	A/mallard_duck/Netherlands/33/2014	H10N7	16/12/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_309833|A/Duck/Netherlands/14015610/2014|A_/_H6N2|2014-11-17	seg5	blasthit	EPI_ISL_309833	A/Duck/Netherlands/14015610/2014	H6N2	17/11/2014	2014	Netherlands	anseriformes	red2
seal|A/grey_seal/England/027661/2017|H3N8|NA|2017-02	seg6	seal	noid	A/grey_seal/England/027661/2017	H3N8	2017-02	2017	England	seal	blue2
blasthit|EPI_ISL_243386|A/mallard_duck/Netherlands/16/2007|A_/_H6N8|2007-11-15	seg6	blasthit	EPI_ISL_243386	A/mallard_duck/Netherlands/16/2007	H6N8	15/11/2007	2007	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243582|A/bewicks_swan/Netherlands/8/2009|A_/_H6N8|2009-01-04	seg6	blasthit	EPI_ISL_243582	A/bewicks_swan/Netherlands/8/2009	H6N8	04/01/2009	2009	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243640|A/mallard_duck/Netherlands/76/2008|A_/_H6N8|2008-11-27	seg6	blasthit	EPI_ISL_243640	A/mallard_duck/Netherlands/76/2008	H6N8	27/11/2008	2008	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243495|A/mallard_duck/Netherlands/78/2006|A_/_H6N8|2006-10-21	seg6	blasthit	EPI_ISL_243495	A/mallard_duck/Netherlands/78/2006	H6N8	21/10/2006	2006	Netherlands	anseriformes	red2
blasthit|EPI_ISL_129976|A/common_gull/Norway/10_1602/2009|A_/_H6N8|2009-XX-XX	seg6	blasthit	EPI_ISL_129976	A/common_gull/Norway/10_1602/2009	H6N8	2009-XX-XX	2009	Norway	charadriiformes	red1
blasthit|EPI_ISL_73378|A/mallard/Sweden/45/2002|A_/_H11N8|2002-11-13	seg6	blasthit	EPI_ISL_73378	A/mallard/Sweden/45/2002	H11N8	13/11/2002	2002	Sweden	anseriformes	red2
blasthit|EPI_ISL_243599|A/greater_white-fronted_goose/Netherlands/4/2006|A_/_H6N8|2006-01-27	seg6	blasthit	EPI_ISL_243599	A/greater_white-fronted_goose/Netherlands/4/2006	H6N8	27/01/2006	2006	Netherlands	anseriformes	red2
blasthit|EPI_ISL_63529|A/mallard/Czech_Republic/14516/2007|A_/_H3N8|2007-09-17	seg6	blasthit	EPI_ISL_63529	A/mallard/Czech_Republic/14516/2007	H3N8	17/09/2007	2007	Czech_Republic	anseriformes	red2
blasthit|EPI_ISL_67401|A/Mallard/65112/03|A_/_H3N8|2003-XX-XX	seg6	blasthit	EPI_ISL_67401	A/Mallard/65112/03	H3N8	2003-XX-XX	2003	unknown	anseriformes	red2
blasthit|EPI_ISL_243402|A/dunlin/Netherlands/2/2007|A_/_H3N8|2007-07-31	seg6	blasthit	EPI_ISL_243402	A/dunlin/Netherlands/2/2007	H3N8	31/07/2007	2007	Netherlands	charadriiformes	red1
blasthit|EPI_ISL_243636|A/dunlin/Netherlands/3/2007|A_/_H3N8|2007-07-31	seg6	blasthit	EPI_ISL_243636	A/dunlin/Netherlands/3/2007	H3N8	31/07/2007	2007	Netherlands	charadriiformes	red1
blasthit|EPI_ISL_243639|A/turnstone/Netherlands/2/2007|A_/_H3N8|2007-07-31	seg6	blasthit	EPI_ISL_243639	A/turnstone/Netherlands/2/2007	H3N8	31/07/2007	2007	Netherlands	charadriiformes	red1
blasthit|EPI_ISL_243390|A/mallard_duck/Netherlands/40/2006|A_/_H6N8|2006-09-16	seg6	blasthit	EPI_ISL_243390	A/mallard_duck/Netherlands/40/2006	H6N8	16/09/2006	2006	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243462|A/greater_white-fronted_goose/Netherlands/3/2006|A_/_H6N8|2006-01-03	seg6	blasthit	EPI_ISL_243462	A/greater_white-fronted_goose/Netherlands/3/2006	H6N8	03/01/2006	2006	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267359|A/mallard_duck/Netherlands/2/2004|A_/_H6N8|2004-09-27	seg6	blasthit	EPI_ISL_267359	A/mallard_duck/Netherlands/2/2004	H6N8	27/09/2004	2004	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243633|A/mallard_duck/Netherlands/34/2006|A_/_H3N8|2006-09-11	seg6	blasthit	EPI_ISL_243633	A/mallard_duck/Netherlands/34/2006	H3N8	11/09/2006	2006	Netherlands	anseriformes	red2
blasthit|EPI_ISL_30808|A/common_teal/Netherlands/2/2005|A_/_H6N8|2005-XX-XX	seg6	blasthit	EPI_ISL_30808	A/common_teal/Netherlands/2/2005	H6N8	2005-XX-XX	2005	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243540|A/greater_white-fronted_goose/Netherlands/4/2008|A_/_H6N8|2008-01-22	seg6	blasthit	EPI_ISL_243540	A/greater_white-fronted_goose/Netherlands/4/2008	H6N8	22/01/2008	2008	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243546|A/bean_goose/Netherlands/1/2008|A_/_H6N8|2008-01-22	seg6	blasthit	EPI_ISL_243546	A/bean_goose/Netherlands/1/2008	H6N8	22/01/2008	2008	Netherlands	anseriformes	red2
blasthit|EPI_ISL_329023|A/ruddy_turnstone/Netherlands/6/2008|A_/_H3N8|2008-11-07	seg6	blasthit	EPI_ISL_329023	A/ruddy_turnstone/Netherlands/6/2008	H3N8	07/11/2008	2008	Netherlands	charadriiformes	red1
blasthit|EPI_ISL_129672|A/duck/Germany-NW/R2185/2006|A_/_H6N8|2006-XX-XX	seg6	blasthit	EPI_ISL_129672	A/duck/Germany-NW/R2185/2006	H6N8	2006-XX-XX	2006	Germany-NW	anseriformes	red2
blasthit|EPI_ISL_30809|A/black-headed_gull/Netherlands/1/2005|A_/_H6N8|2005-XX-XX	seg6	blasthit	EPI_ISL_30809	A/black-headed_gull/Netherlands/1/2005	H6N8	2005-XX-XX	2005	Netherlands	charadriiformes	red1
blasthit|EPI_ISL_329054|A/White-fronted_Goose/Netherlands/3/2008|A_/_H6N8|2008-01-22	seg6	blasthit	EPI_ISL_329054	A/White-fronted_Goose/Netherlands/3/2008	H6N8	22/01/2008	2008	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267207|A/mallard_duck/Netherlands/60/2006|A_/_H3N8|2006-09-18	seg6	blasthit	EPI_ISL_267207	A/mallard_duck/Netherlands/60/2006	H3N8	18/09/2006	2006	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243559|A/greater_white-fronted_goose/Netherlands/2/2008|A_/_H6N8|2008-01-22	seg6	blasthit	EPI_ISL_243559	A/greater_white-fronted_goose/Netherlands/2/2008	H6N8	22/01/2008	2008	Netherlands	anseriformes	red2
blasthit|EPI_ISL_30804|A/common_eider/Netherlands/1/2006|A_/_H3N8|2006-XX-XX	seg6	blasthit	EPI_ISL_30804	A/common_eider/Netherlands/1/2006	H3N8	2006-XX-XX	2006	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243638|A/turnstone/Netherlands/3/2008|A_/_H3N8|2008-10-31	seg6	blasthit	EPI_ISL_243638	A/turnstone/Netherlands/3/2008	H3N8	31/10/2008	2008	Netherlands	charadriiformes	red1
blasthit|EPI_ISL_243606|A/gadwall_duck/Netherlands/3/2006|A_/_H3N8|2006-09-03	seg6	blasthit	EPI_ISL_243606	A/gadwall_duck/Netherlands/3/2006	H3N8	03/09/2006	2006	Netherlands	anseriformes	red2
blasthit|EPI_ISL_189612|A/mallard/Sweden/1636/2002|A_/_H3N8|2002-12-13	seg6	blasthit	EPI_ISL_189612	A/mallard/Sweden/1636/2002	H3N8	13/12/2002	2002	Sweden	anseriformes	red2
blasthit|EPI_ISL_267401|A/mallard_duck/Netherlands/1/2004|A_/_H3N8|2004-09-18	seg6	blasthit	EPI_ISL_267401	A/mallard_duck/Netherlands/1/2004	H3N8	18/09/2004	2004	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243522|A/mallard_duck/Netherlands/13/2012|A_/_H3N8|2012-10-01	seg6	blasthit	EPI_ISL_243522	A/mallard_duck/Netherlands/13/2012	H3N8	01/10/2012	2012	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243651|A/turnstone/Netherlands/4/2008|A_/_H3N8|2008-11-01	seg6	blasthit	EPI_ISL_243651	A/turnstone/Netherlands/4/2008	H3N8	01/11/2008	2008	Netherlands	charadriiformes	red1
blasthit|EPI_ISL_30793|A/mallard/Netherlands/3/2005|A_/_H3N8|2005-XX-XX	seg6	blasthit	EPI_ISL_30793	A/mallard/Netherlands/3/2005	H3N8	2005-XX-XX	2005	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243492|A/mallard_duck/Netherlands/7/2008|A_/_H3N8|2008-08-22	seg6	blasthit	EPI_ISL_243492	A/mallard_duck/Netherlands/7/2008	H3N8	22/08/2008	2008	Netherlands	anseriformes	red2
blasthit|EPI_ISL_84560|A/mallard/Netherlands/20/2005|A_/_H12N8|2005-XX-XX	seg6	blasthit	EPI_ISL_84560	A/mallard/Netherlands/20/2005	H12N8	2005-XX-XX	2005	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243486|A/turnstone/Netherlands/1/2010|A_/_H3N8|2010-10-09	seg6	blasthit	EPI_ISL_243486	A/turnstone/Netherlands/1/2010	H3N8	09/10/2010	2010	Netherlands	charadriiformes	red1
blasthit|EPI_ISL_74065|A/Teal/Norway/10_1575/2007|A_/_H3N8|2007-XX-XX	seg6	blasthit	EPI_ISL_74065	A/Teal/Norway/10_1575/2007	H3N8	2007-XX-XX	2007	Norway	anseriformes	red2
blasthit|EPI_ISL_32005|A/mute_swan/Germany/R2927/2007|A_/_H6N8|2007-XX-XX	seg6	blasthit	EPI_ISL_32005	A/mute_swan/Germany/R2927/2007	H6N8	2007-XX-XX	2007	Germany	anseriformes	red2
blasthit|EPI_ISL_15251|A/duck/Eastern_China/163/2002|A_/_H6N8|2002-XX-XX	seg6	blasthit	EPI_ISL_15251	A/duck/Eastern_China/163/2002	H6N8	2002-XX-XX	2002	Eastern_China	anseriformes	red2
blasthit|EPI_ISL_30813|A/mallard/Netherlands/33/2006|A_/_H7N8|2006-XX-XX	seg6	blasthit	EPI_ISL_30813	A/mallard/Netherlands/33/2006	H7N8	2006-XX-XX	2006	Netherlands	anseriformes	red2
blasthit|EPI_ISL_30805|A/turnstone/Netherlands/1/2007|A_/_H3N8|2007-XX-XX	seg6	blasthit	EPI_ISL_30805	A/turnstone/Netherlands/1/2007	H3N8	2007-XX-XX	2007	Netherlands	charadriiformes	red1
blasthit|EPI_ISL_97364|A/goose/Germany/R1767/2007|A_/_H6N8|2007-XX-XX	seg6	blasthit	EPI_ISL_97364	A/goose/Germany/R1767/2007	H6N8	2007-XX-XX	2007	Germany	anseriformes	red2
blasthit|EPI_ISL_3008|A/duck/Spain/543/2006|A_/_H6N8|2006-10-07	seg6	blasthit	EPI_ISL_3008	A/duck/Spain/543/2006	H6N8	07/10/2006	2006	Spain	anseriformes	red2
blasthit|EPI_ISL_2852|A/duck/Norway/1/03|A_/_H3N8|2003-XX-XX	seg6	blasthit	EPI_ISL_2852	A/duck/Norway/1/03	H3N8	2003-XX-XX	2003	Norway	anseriformes	red2
blasthit|EPI_ISL_267383|A/mallard_duck/Netherlands/2/2003|A_/_H3N8|2003-09-25	seg6	blasthit	EPI_ISL_267383	A/mallard_duck/Netherlands/2/2003	H3N8	25/09/2003	2003	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267251|A/mallard_duck/Netherlands/1/2003|A_/_H3N8|2003-09-25	seg6	blasthit	EPI_ISL_267251	A/mallard_duck/Netherlands/1/2003	H3N8	25/09/2003	2003	Netherlands	anseriformes	red2
blasthit|EPI_ISL_84554|A/common_eider/Netherlands2/2006|A_/_H4N8|2006-XX-XX	seg6	blasthit	EPI_ISL_84554	A/common_eider/Netherlands2/2006	H4N8	2006-XX-XX	2006	Netherlands2	anseriformes	red2
blasthit|EPI_ISL_31484|A/mallard/Hungary/19616/2007|A_/_H3N8|2007-XX-XX	seg6	blasthit	EPI_ISL_31484	A/mallard/Hungary/19616/2007	H3N8	2007-XX-XX	2007	Hungary	anseriformes	red2
blasthit|EPI_ISL_3007|A/duck/Spain/539/2006|A_/_H6N8|2006-10-07	seg6	blasthit	EPI_ISL_3007	A/duck/Spain/539/2006	H6N8	07/10/2006	2006	Spain	anseriformes	red2
blasthit|EPI_ISL_267292|A/white-fronted_goose/Netherlands/5/2011|A_/_H6N8|2011-12-14	seg6	blasthit	EPI_ISL_267292	A/white-fronted_goose/Netherlands/5/2011	H6N8	14/12/2011	2011	Netherlands	anseriformes	red2
seal|A/grey_seal/England/027661/2017|H3N8|MP|2017-02	seg7	seal	noid	A/grey_seal/England/027661/2017	H3N8	2017-02	2017	England	seal	blue2
blasthit|EPI_ISL_243522|A/mallard_duck/Netherlands/13/2012|A_/_H3N8|2012-10-01	seg7	blasthit	EPI_ISL_243522	A/mallard_duck/Netherlands/13/2012	H3N8	01/10/2012	2012	Netherlands	anseriformes	red2
blasthit|EPI_ISL_158187|A/mallard/Sweden/80261/2008|A_/_H4N9|2008-11-21	seg7	blasthit	EPI_ISL_158187	A/mallard/Sweden/80261/2008	H4N9	21/11/2008	2008	Sweden	anseriformes	red2
blasthit|EPI_ISL_267386|A/mallard_duck/Netherlands/34/2010|A_/_H3N2|2010-10-08	seg7	blasthit	EPI_ISL_267386	A/mallard_duck/Netherlands/34/2010	H3N2	08/10/2010	2010	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243633|A/mallard_duck/Netherlands/34/2006|A_/_H3N8|2006-09-11	seg7	blasthit	EPI_ISL_243633	A/mallard_duck/Netherlands/34/2006	H3N8	11/09/2006	2006	Netherlands	anseriformes	red2
blasthit|EPI_ISL_189374|A/mallard/Sweden/102260/2009|A_/_H10N1|2009-11-19	seg7	blasthit	EPI_ISL_189374	A/mallard/Sweden/102260/2009	H10N1	19/11/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_189373|A/mallard/Sweden/102087/2009|A_/_H10N1|2009-11-17	seg7	blasthit	EPI_ISL_189373	A/mallard/Sweden/102087/2009	H10N1	17/11/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_189614|A/mallard/Sweden/102214/2009|A_/_H10N1|2009-11-18	seg7	blasthit	EPI_ISL_189614	A/mallard/Sweden/102214/2009	H10N1	18/11/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_158228|A/mallard/Sweden/6134/2005|A_/_H4N6|2005-11-03	seg7	blasthit	EPI_ISL_158228	A/mallard/Sweden/6134/2005	H4N6	03/11/2005	2005	Sweden	anseriformes	red2
blasthit|EPI_ISL_158293|A/mallard/Sweden/59937/2007|A_/_H4N6|2007-09-22	seg7	blasthit	EPI_ISL_158293	A/mallard/Sweden/59937/2007	H4N6	22/09/2007	2007	Sweden	anseriformes	red2
blasthit|EPI_ISL_95121|A/Anas_platyrhynchos/Camargue/091863/09|A_/_H10N7|2009-05-20	seg7	blasthit	EPI_ISL_95121	A/Anas_platyrhynchos/Camargue/091863/09	H10N7	20/05/2009	2009	Camargue	anseriformes	red2
blasthit|EPI_ISL_243390|A/mallard_duck/Netherlands/40/2006|A_/_H6N8|2006-09-16	seg7	blasthit	EPI_ISL_243390	A/mallard_duck/Netherlands/40/2006	H6N8	16/09/2006	2006	Netherlands	anseriformes	red2
blasthit|EPI_ISL_189418|A/mallard/Sweden/105254/2009|A_/_H10N1|2009-11-29	seg7	blasthit	EPI_ISL_189418	A/mallard/Sweden/105254/2009	H10N1	29/11/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_189377|A/mallard/Sweden/105186/2009|A_/_H10N1|2009-11-28	seg7	blasthit	EPI_ISL_189377	A/mallard/Sweden/105186/2009	H10N1	28/11/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_189375|A/mallard/Sweden/104746/2009|A_/_H10N1|2009-11-21	seg7	blasthit	EPI_ISL_189375	A/mallard/Sweden/104746/2009	H10N1	21/11/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_189380|A/mallard/Sweden/105364/2009|A_/_H10N1|2009-11-30	seg7	blasthit	EPI_ISL_189380	A/mallard/Sweden/105364/2009	H10N1	30/11/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_189389|A/mallard/Sweden/105536/2009|A_/_H10N1|2009-12-03	seg7	blasthit	EPI_ISL_189389	A/mallard/Sweden/105536/2009	H10N1	03/12/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_189387|A/mallard/Sweden/105501/2009|A_/_H10N1|2009-12-02	seg7	blasthit	EPI_ISL_189387	A/mallard/Sweden/105501/2009	H10N1	02/12/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_189386|A/mallard/Sweden/105486/2009|A_/_H10N1|2009-12-02	seg7	blasthit	EPI_ISL_189386	A/mallard/Sweden/105486/2009	H10N1	02/12/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_189385|A/mallard/Sweden/105474/2009|A_/_H10N1|2009-12-02	seg7	blasthit	EPI_ISL_189385	A/mallard/Sweden/105474/2009	H10N1	02/12/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_189384|A/mallard/Sweden/105465/2009|A_/_H10N1|2009-12-02	seg7	blasthit	EPI_ISL_189384	A/mallard/Sweden/105465/2009	H10N1	02/12/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_189383|A/mallard/Sweden/105404/2009|A_/_H10N1|2009-12-01	seg7	blasthit	EPI_ISL_189383	A/mallard/Sweden/105404/2009	H10N1	01/12/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_189379|A/mallard/Sweden/105323/2009|A_/_H10N1|2009-11-30	seg7	blasthit	EPI_ISL_189379	A/mallard/Sweden/105323/2009	H10N1	30/11/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_189382|A/mallard/Sweden/105402/2009|A_/_H10N1|2009-12-01	seg7	blasthit	EPI_ISL_189382	A/mallard/Sweden/105402/2009	H10N1	01/12/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_189378|A/mallard/Sweden/105259/2009|A_/_H10N1|2009-11-29	seg7	blasthit	EPI_ISL_189378	A/mallard/Sweden/105259/2009	H10N1	29/11/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_189381|A/mallard/Sweden/105365/2009|A_/_H10N1|2009-11-30	seg7	blasthit	EPI_ISL_189381	A/mallard/Sweden/105365/2009	H10N1	30/11/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_189391|A/mallard/Sweden/107688/2009|A_/_H10N1|2009-12-04	seg7	blasthit	EPI_ISL_189391	A/mallard/Sweden/107688/2009	H10N1	04/12/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_189390|A/mallard/Sweden/105565/2009|A_/_H10N1|2009-12-03	seg7	blasthit	EPI_ISL_189390	A/mallard/Sweden/105565/2009	H10N1	03/12/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_158230|A/mallard/Sweden/7582/2003|A_/_H4N6|2003-11-05	seg7	blasthit	EPI_ISL_158230	A/mallard/Sweden/7582/2003	H4N6	05/11/2003	2003	Sweden	anseriformes	red2
blasthit|EPI_ISL_122074|A/mallard/Sweden/57/2002|A_/_H2N3|2002-XX-XX	seg7	blasthit	EPI_ISL_122074	A/mallard/Sweden/57/2002	H2N3	2002-XX-XX	2002	Sweden	anseriformes	red2
blasthit|EPI_ISL_63531|A/mallard/Czech_Republic/14633-16/2007|A_/_H3N8|2007-09-19	seg7	blasthit	EPI_ISL_63531	A/mallard/Czech_Republic/14633-16/2007	H3N8	19/09/2007	2007	Czech_Republic	anseriformes	red2
blasthit|EPI_ISL_158292|A/mallard/Sweden/59896/2007|A_/_H4N6|2007-09-20	seg7	blasthit	EPI_ISL_158292	A/mallard/Sweden/59896/2007	H4N6	20/09/2007	2007	Sweden	anseriformes	red2
blasthit|EPI_ISL_243659|A/mallard_duck/Netherlands/10/2012|A_/_H6N1|2012-09-05	seg7	blasthit	EPI_ISL_243659	A/mallard_duck/Netherlands/10/2012	H6N1	05/09/2012	2012	Netherlands	anseriformes	red2
blasthit|EPI_ISL_189342|A/mallard/Sweden/737/2002|A_/_H10N2|2002-11-12	seg7	blasthit	EPI_ISL_189342	A/mallard/Sweden/737/2002	H10N2	12/11/2002	2002	Sweden	anseriformes	red2
blasthit|EPI_ISL_189346|A/mallard/Sweden/831/2002|A_/_H10N2|2002-11-14	seg7	blasthit	EPI_ISL_189346	A/mallard/Sweden/831/2002	H10N2	14/11/2002	2002	Sweden	anseriformes	red2
blasthit|EPI_ISL_189400|A/mallard/Sweden/68529/2007|A_/_H12N5|2007-10-16	seg7	blasthit	EPI_ISL_189400	A/mallard/Sweden/68529/2007	H12N5	16/10/2007	2007	Sweden	anseriformes	red2
blasthit|EPI_ISL_189399|A/mallard/Sweden/60069/2007|A_/_H12N5|2007-10-15	seg7	blasthit	EPI_ISL_189399	A/mallard/Sweden/60069/2007	H12N5	15/10/2007	2007	Sweden	anseriformes	red2
blasthit|EPI_ISL_73380|A/mallard/Sweden/48/2002|A_/_H11N9|2002-11-14	seg7	blasthit	EPI_ISL_73380	A/mallard/Sweden/48/2002	H11N9	14/11/2002	2002	Sweden	anseriformes	red2
blasthit|EPI_ISL_73378|A/mallard/Sweden/45/2002|A_/_H11N8|2002-11-13	seg7	blasthit	EPI_ISL_73378	A/mallard/Sweden/45/2002	H11N8	13/11/2002	2002	Sweden	anseriformes	red2
blasthit|EPI_ISL_189352|A/mallard/Sweden/4411/2004|A_/_H10N4|2004-06-18	seg7	blasthit	EPI_ISL_189352	A/mallard/Sweden/4411/2004	H10N4	18/06/2004	2004	Sweden	anseriformes	red2
blasthit|EPI_ISL_189351|A/mallard/Sweden/4401/2004|A_/_H10N4|2004-06-18	seg7	blasthit	EPI_ISL_189351	A/mallard/Sweden/4401/2004	H10N4	18/06/2004	2004	Sweden	anseriformes	red2
blasthit|EPI_ISL_189401|A/mallard/Sweden/69794/2007|A_/_H12N5|2007-11-12	seg7	blasthit	EPI_ISL_189401	A/mallard/Sweden/69794/2007	H12N5	12/11/2007	2007	Sweden	anseriformes	red2
blasthit|EPI_ISL_158186|A/mallard/Sweden/80057/2008|A|2008-11-18	seg7	blasthit	EPI_ISL_158186	A/mallard/Sweden/80057/2008	A	18/11/2008	2008	Sweden	anseriformes	red2
